"윤지네반찬가게","식품잡화","경기 성남시 분당구 미금일로 55,상가동 105호","구미동, 하얀마을주공6단지아파트"
"이엘글로벌 주식회사","식품잡화","경기 성남시 분당구 정자일로 146,엠코헤리츠 A123호","정자동"
"에버그린하우스","인삼 및 건강제품","경기 성남시 분당구 돌마로 79","금곡동, 썬프라자"
"주식회사 무진개발","식품잡화","경기 성남시 분당구 느티로 22,A-3208","정자동, 백궁동양파라곤"
"쉘파비즈","식품잡화","경기 성남시 분당구 구미로 16,754","구미동, 성우스타우스오피스텔"
"주식회사 케이피엔","인삼 및 건강제품","경기 성남시 분당구 정자일로 15,205호","금곡동, 분당하우스토리"
"이마트24 판교SG","편의점","경기 성남시 분당구 대왕판교로606번길 47,1층 102-2호","삼평동, SG타워"
"다옴","식품잡화","경기 성남시 분당구 내정로174번길 42,2층 208호","수내동, 파크타운서안아파트"
"두스프랑스","식품잡화","경기 성남시 분당구 정자일로 80","정자동, 상록마을4단지아파트"
"하이홀딩스 주식회사","식품잡화","경기 성남시 분당구 운중로233번길 8-8,1층 101호","판교동"
"신미유통","식품잡화","경기 성남시 분당구 느티로87번길 5,지층","정자동"
"오늘반찬","식품잡화","경기 성남시 분당구 벌말로40번길 4,1층 101호","야탑동"
"메디포스트 주식회사","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트 주식회사","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트 주식회사","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트 주식회사","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
