Name,Address,IndustryInfo,Neighborhood,좌표
(주) 디에스유통,할인점/슈퍼마켓,경기 성남시 분당구 야탑로 64,야탑동,"(37.40943235, 127.12591753750729)"
스마일슈퍼,식품잡화,경기 성남시 분당구 장미로 55,"야탑동, 장미마을아파트","(37.4134109, 127.1331151)"
야미타미,식품잡화,경기 성남시 분당구 판교공원로3길 31,판교동,"(37.3908691, 127.0902517)"
커뮤니 주식회사,인삼 및 건강제품,경기 성남시 분당구 백현로101번길 16,"수내동, 대덕프라자","(37.3764421, 127.1114779)"
(주)올가홀푸드 서현점,할인점/슈퍼마켓,경기 성남시 분당구 중앙공원로 35,서현동,"(37.382904, 127.1322702)"
오늘커뮤니케이션,식품잡화,경기 성남시 분당구 벌말로40번길 5-1,야탑동,"(37.4115424, 127.13876617372726)"
지유명차 분당정자점,식품잡화,경기 성남시 분당구 정자일로 55,"금곡동, 분당두산위브아파트","(37.3507854, 127.1063437)"
비엠아이 인터내셔날,인삼 및 건강제품,경기 성남시 분당구 미금로 215,"금곡동, 청솔마을대원아파트","(37.3464498, 127.1160634)"
허블리 웰빙하우스,인삼 및 건강제품,경기 성남시 분당구 중앙공원로40번길 8,"서현동, 현대근린상가","(37.3794199, 127.1316498)"
과자킹,식품잡화,경기 성남시 분당구 분당로53번길 14,"서현동, 서현프라자","(37.3837599, 127.12220883209902)"
분당오리멀티전자담배,식품잡화,경기 성남시 분당구 성남대로 52,"구미동, 그랜드프라자","(37.3404548, 127.1094002)"
느티마트,할인점/슈퍼마켓,경기 성남시 분당구 정자동느티마을아파트 4단지상가 111호,,
시내산반찬,식품잡화,경기 성남시 분당구 돌마로486번길 6,"서현동, 상록프라자","(37.3752243, 127.1363936)"
우보 분당,인삼 및 건강제품,경기 성남시 분당구 돌마로 47,금곡동,"(37.371871, 127.1255546)"
주식회사 트로이,인삼 및 건강제품,경기 성남시 분당구 성남대로916번길 11,"야탑동, 글라스타워","(37.410839499999994, 127.12984399999999)"
미금역 전자담배,식품잡화,경기 성남시 분당구 성남대로 165,"금곡동, 천사의도시외스텔1차","(37.3724397, 127.1081833)"
분당정자동전자담배프라자,식품잡화,경기 성남시 분당구 성남대로331번길 8,"정자동, 킨스타워","(37.365895249999994, 127.10667269663449)"
(주)새농 야탑점,할인점/슈퍼마켓,경기 성남시 분당구 판교로 471,"야탑동, 한화빌딩","(37.4057277, 127.12622072507438)"
세븐일레븐 서판교로점,편의점,경기 성남시 분당구 서판교로44번길 3-1,판교동,"(37.391068700000005, 127.0980983)"
지평막걸리,식품잡화,경기 성남시 분당구 벌말로29번길 9,야탑동,"(37.410661399999995, 127.13717522849846)"
(주) 사랑과선행,식품잡화,경기 성남시 분당구 야탑로205번길 26,야탑동,"(37.4107397, 127.14297364999281)"
전자담배,식품잡화,경기 성남시 분당구 돌마로 80,"구미동, 분당현대벤쳐빌","(37.34967775, 127.11041683472561)"
에스엠(SM),식품잡화,경기 성남시 분당구 황새울로 224,"수내동, 청구블루빌","(37.3667521, 127.109831)"
탄탄CVS,식품잡화,경기 성남시 분당구 탄천로 215,야탑동,"(37.4091605, 127.123032)"
주식회사 청유,인삼 및 건강제품,경기 성남시 분당구 서현로 170,"서현동, 풍림아이원플러스","(37.3889736, 127.1225479)"
