Name,Address,IndustryInfo,Neighborhood,좌표
미즈헤어,"이용,미용",경기 성남시 분당구 탄천로 35,아름마을상가 517-202,"(37.4091605, 127.123032)"
헤어갤러리,"이용,미용",경기 성남시 분당구 서현로371번길 7,1층 일부,"(37.37741295, 127.13967250259822)"
오지영미용실,"이용,미용",경기 성남시 분당구 불정로386번길 10,주상복합상가 1층 601-99,"(37.372939, 127.138965)"
나이스가이,"이용,미용",경기 성남시 분당구 야탑로69번길 24-6,103호,"(37.4116087, 127.1273107)"
마이미용재료,미용재료,경기 성남시 분당구 판교로 437,204,"(37.4057256, 127.1224341)"
준오헤어,"이용,미용",경기 성남시 분당구 돌마로 51,2층,"(37.371871, 127.1255546)"
이상희헤어갤러리,"이용,미용",경기 성남시 분당구 내정로166번길 7-6,파크타운코끼리상가 103,"(37.3717071, 127.1211621)"
마임분당하은,화장품,경기 성남시 분당구 야탑로 95,세신옴니코아 7층 713,"(37.4101687, 127.1292980998885)"
신혜정헤어갤러리,"이용,미용",경기 성남시 분당구 장미로 139,상가 2층 202,"(37.4134109, 127.1331151)"
아모레카운셀러,화장품,경기 성남시 분당구 매화로 38,201,"(37.41101655, 127.13417343317076)"
마중헤어살롱,"이용,미용",경기 성남시 분당구 매화로 53 ,1층 101호,"(37.4122944, 127.13362175)"
샤르망,피부미용실,경기 성남시 분당구 황새울로200번길 22,외 1필지 한솔인피니티 1126,"(37.376285800000005, 127.11274558281542)"
신정헤어스토리,"이용,미용",경기 성남시 분당구 구미동분당메가포스몰상가 148,,
바른체형,체형관리,경기 성남시 분당구 황새울로 315,4층 403호,"(37.3850485, 127.12046)"
유난희 고운피부,화장품,경기 성남시 분당구 판교로 433,402호,"(37.4001937, 127.0962964)"
라인 카이로프랙틱,체형관리,경기 성남시 분당구 돌마로486번길 12,228동 2층 4호,"(37.3752243, 127.1363936)"
그린미용실,"이용,미용",경기 성남시 분당구 미금일로74번길 18,1층,"(37.3473618, 127.1117377)"
분당 아이조아,화장품,경기 성남시 분당구 성남대로 912,4층 일부,"(37.4109688, 127.12925267507362)"
마임분당야탑,화장품,경기 성남시 분당구 성남대로925번길 11,야탑동,"(37.4120427, 127.12729)"
엘린뷰티갤러리,화장품,경기 성남시 분당구 성남대로 393,B동 206-1호,"(37.3724397, 127.1081833)"
레드도어,"이용,미용",경기 성남시 분당구 구미로 60,204,"(37.3378213, 127.1156384)"
연 헤어라인,"이용,미용",경기 성남시 분당구 미금로22번길 10,무지개마을부산상가 나동 103호,"(37.3366942, 127.1188513)"
